# =====
# CALSPEC spectrum, resampled to the wavelength grid of LRS slit
# Extra broadening: x2.25 (<7 microns); x2.25 (>=7 microns)
# =====
# Wavelength (um)	Flux (Jy)
# =====
4.5010000000	0.0248979796
4.5765000000	0.0240956011
4.6537000000	0.0233178708
4.7331000000	0.0225963585
4.8084000000	0.0219841967
4.8792000000	0.0214300518
4.9478000000	0.0208819482
5.0171000000	0.0203176828
5.0850000000	0.0197760137
5.1496000000	0.0192972797
5.2146000000	0.0188596144
5.2794000000	0.0184448758
5.3393000000	0.0180598688
5.3960000000	0.0176946248
5.4533000000	0.0173343570
5.5114000000	0.0169837518
5.5695000000	0.0166469511
5.6266000000	0.0163240553
5.6821000000	0.0160147145
5.7360000000	0.0157193375
5.7886000000	0.0154312338
5.8400000000	0.0151429221
5.8901000000	0.0148654078
5.9395000000	0.0146210176
5.9888000000	0.0144187605
6.0385000000	0.0142393955
6.0888000000	0.0140525813
6.1388000000	0.0138454018
6.1864000000	0.0136299309
6.2314000000	0.0134202744
6.2767000000	0.0132187744
6.3241000000	0.0130316807
6.3717000000	0.0128661870
6.4171000000	0.0127148533
6.4603000000	0.0125666766
6.5031000000	0.0124147985
6.5463000000	0.0122589771
6.5901000000	0.0120991117
6.6341000000	0.0119339958
6.6778000000	0.0117632662
6.7202000000	0.0115962994
6.7608000000	0.0114475660
6.8005000000	0.0113226489
6.8404000000	0.0112152239
6.8804000000	0.0111137379
6.9207000000	0.0110069662
6.9611000000	0.0108930911
7.0013000000	0.0107760862
7.0412000000	0.0106594935
7.0803000000	0.0105463293
7.1188000000	0.0104364145
7.1567000000	0.0103297748
7.1941000000	0.0102258979
7.2312000000	0.0101236555
7.2685000000	0.0100201353
7.3061000000	0.0099112978
7.3433000000	0.0097930555
7.3800000000	0.0096611365
7.4159000000	0.0095210893
7.4518000000	0.0093870521
7.4877000000	0.0092821682
7.5238000000	0.0092168470
7.5597000000	0.0091805149
7.5953000000	0.0091486180
7.6303000000	0.0091042504
7.6649000000	0.0090445193
7.6990000000	0.0089753660
7.7327000000	0.0089025838
7.7663000000	0.0088288971
7.7999000000	0.0087554641
7.8336000000	0.0086825030
7.8673000000	0.0086103478
7.9008000000	0.0085394703
7.9338000000	0.0084704745
7.9665000000	0.0084029027
7.9988000000	0.0083369226
8.0306000000	0.0082726954
8.0622000000	0.0082095895
8.0937000000	0.0081473720
8.1253000000	0.0080856492
8.1571000000	0.0080242291
8.1888000000	0.0079636825
8.2201000000	0.0079045504
8.2510000000	0.0078467644
8.2817000000	0.0077899173
8.3122000000	0.0077340067
8.3428000000	0.0076784976
8.3736000000	0.0076232650
8.4042000000	0.0075690499
8.4348000000	0.0075154503
8.4650000000	0.0074631066
8.4948000000	0.0074119095
