# =====
# CALSPEC spectrum, resampled to the wavelength grid of LRS slit
# Extra broadening: x2.25 (<7 microns); x2.25 (>=7 microns)
# =====
# Wavelength (um)	Flux (Jy)
# =====
4.5010000000	0.0384415589
4.5765000000	0.0372183327
4.6537000000	0.0360303184
4.7331000000	0.0349233229
4.8084000000	0.0339796544
4.8792000000	0.0331235127
4.9478000000	0.0322765871
5.0171000000	0.0314062746
5.0850000000	0.0305746773
5.1496000000	0.0298424172
5.2146000000	0.0291717283
5.2794000000	0.0285340546
5.3393000000	0.0279424618
5.3960000000	0.0273819235
5.4533000000	0.0268284456
5.5114000000	0.0262885483
5.5695000000	0.0257692800
5.6266000000	0.0252721191
5.6821000000	0.0247963826
5.7360000000	0.0243409214
5.7886000000	0.0238953316
5.8400000000	0.0234508472
5.8901000000	0.0230260277
5.9395000000	0.0226524645
5.9888000000	0.0223404802
6.0385000000	0.0220610784
6.0888000000	0.0217710017
6.1388000000	0.0214524430
6.1864000000	0.0211231539
6.2314000000	0.0208027260
6.2767000000	0.0204928926
6.3241000000	0.0202022042
6.3717000000	0.0199431867
6.4171000000	0.0197070501
6.4603000000	0.0194775079
6.5031000000	0.0192433172
6.5463000000	0.0190035169
6.5901000000	0.0187576499
6.6341000000	0.0185037370
6.6778000000	0.0182416581
6.7202000000	0.0179863767
6.7608000000	0.0177591808
6.8005000000	0.0175667795
6.8404000000	0.0173988606
6.8804000000	0.0172388645
6.9207000000	0.0170712432
6.9611000000	0.0168943930
7.0013000000	0.0167143703
7.0412000000	0.0165354095
7.0803000000	0.0163611282
7.1188000000	0.0161914683
7.1567000000	0.0160272568
7.1941000000	0.0158677485
7.2312000000	0.0157103417
7.2685000000	0.0155501618
7.3061000000	0.0153825356
7.3433000000	0.0152038871
7.3800000000	0.0150084156
7.4159000000	0.0148014859
7.4518000000	0.0145997774
7.4877000000	0.0144354768
7.5238000000	0.0143261213
7.5597000000	0.0142605609
7.5953000000	0.0142048533
7.6303000000	0.0141330322
7.6649000000	0.0140392668
7.6990000000	0.0139318459
7.7327000000	0.0138193357
7.7663000000	0.0137057012
7.7999000000	0.0135924794
7.8336000000	0.0134797607
7.8673000000	0.0133679482
7.9008000000	0.0132579042
7.9338000000	0.0131508259
7.9665000000	0.0130461858
7.9988000000	0.0129442825
8.0306000000	0.0128452689
8.0622000000	0.0127479506
8.0937000000	0.0126517291
8.1253000000	0.0125559478
8.1571000000	0.0124604971
8.1888000000	0.0123664906
