# =====
# CALSPEC spectrum, resampled to the wavelength grid of LRS slit
# Extra broadening: x2.25 (<7 microns); x2.25 (>=7 microns)
# =====
# Wavelength (um)	Flux (Jy)
# =====
4.5010000000	0.0060332344
4.5765000000	0.0058419690
4.6537000000	0.0056570108
4.7331000000	0.0054835613
4.8084000000	0.0053335155
4.8792000000	0.0051970484
4.9478000000	0.0050637477
5.0171000000	0.0049287464
5.0850000000	0.0048003969
5.1496000000	0.0046861837
5.2146000000	0.0045795705
5.2794000000	0.0044775259
5.3393000000	0.0043838201
5.3960000000	0.0042959257
5.4533000000	0.0042094039
5.5114000000	0.0041249024
5.5695000000	0.0040435182
5.6266000000	0.0039657784
5.6821000000	0.0038917043
5.7360000000	0.0038209068
5.7886000000	0.0037520006
5.8400000000	0.0036841396
5.8901000000	0.0036195766
5.9395000000	0.0035614520
5.9888000000	0.0035103600
6.0385000000	0.0034627801
6.0888000000	0.0034141446
6.1388000000	0.0033631934
6.1864000000	0.0033125824
6.2314000000	0.0032642273
6.2767000000	0.0032171576
6.3241000000	0.0031715513
6.3717000000	0.0031292697
6.4171000000	0.0030902421
6.4603000000	0.0030529006
6.5031000000	0.0030156002
6.5463000000	0.0029779968
6.5901000000	0.0029399129
6.6341000000	0.0029011719
6.6778000000	0.0028618895
6.7202000000	0.0028239109
6.7608000000	0.0027895166
6.8005000000	0.0027590203
6.8404000000	0.0027309402
6.8804000000	0.0027036076
6.9207000000	0.0026755079
6.9611000000	0.0026466539
7.0013000000	0.0026177372
7.0412000000	0.0025891338
7.0803000000	0.0025613254
7.1188000000	0.0025343350
7.1567000000	0.0025083210
7.1941000000	0.0024831204
7.2312000000	0.0024582116
7.2685000000	0.0024326846
7.3061000000	0.0024058325
7.3433000000	0.0023776423
7.3800000000	0.0023481485
7.4159000000	0.0023186478
7.4518000000	0.0022910409
7.4877000000	0.0022685503
7.5238000000	0.0022523716
7.5597000000	0.0022406310
7.5953000000	0.0022292931
7.6303000000	0.0022157223
7.6649000000	0.0021996156
7.6990000000	0.0021821619
7.7327000000	0.0021643561
7.7663000000	0.0021465599
7.7999000000	0.0021288810
7.8336000000	0.0021112860
7.8673000000	0.0020938304
7.9008000000	0.0020766547
7.9338000000	0.0020599476
7.9665000000	0.0020436213
7.9988000000	0.0020277177
8.0306000000	0.0020122618
8.0622000000	0.0019970709
8.0937000000	0.0019820526
8.1253000000	0.0019671057
8.1571000000	0.0019522184
8.1888000000	0.0019375695
8.2201000000	0.0019232932
8.2510000000	0.0019093390
8.2817000000	0.0018955694
8.3122000000	0.0018819678
8.3428000000	0.0018684335
8.3736000000	0.0018550048
8.4042000000	0.0018419287
8.4348000000	0.0018291195
8.4650000000	0.0018166796
8.4948000000	0.0018045107
8.5244000000	0.0017924587
8.5537000000	0.0017805114
8.5828000000	0.0017685651
8.6116000000	0.0017565277
8.6405000000	0.0017440134
8.6694000000	0.0017308671
8.6984000000	0.0017172041
8.7274000000	0.0017037923
8.7561000000	0.0016917919
8.7847000000	0.0016816853
8.8129000000	0.0016732292
8.8409000000	0.0016654166
8.8687000000	0.0016573632
8.8962000000	0.0016487518
8.9235000000	0.0016396526
8.9509000000	0.0016302076
8.9782000000	0.0016206809
9.0058000000	0.0016110499
9.0332000000	0.0016015586
9.0606000000	0.0015921833
9.0877000000	0.0015830458
9.1145000000	0.0015741311
9.1410000000	0.0015654034
9.1676000000	0.0015566967
9.1943000000	0.0015479943
9.2211000000	0.0015392974
9.2479000000	0.0015306461
9.2745000000	0.0015221085
9.3007000000	0.0015137540
9.3263000000	0.0015056609
9.3517000000	0.0014977207
9.3768000000	0.0014899667
9.4020000000	0.0014822541
9.4272000000	0.0014745831
9.4525000000	0.0014669065
9.4779000000	0.0014592337
9.5034000000	0.0014515908
9.5288000000	0.0014440544
9.5542000000	0.0014365984
9.5795000000	0.0014292419
9.6048000000	0.0014219413
9.6299000000	0.0014147425
9.6546000000	0.0014076954
9.6794000000	0.0014006573
9.7040000000	0.0013937193
9.7284000000	0.0013868937
9.7528000000	0.0013801383
9.7770000000	0.0013735169
9.8010000000	0.0013670260
9.8249000000	0.0013606201
9.8486000000	0.0013543046
9.8723000000	0.0013480094
9.8958000000	0.0013417856
9.9193000000	0.0013355884
9.9429000000	0.0013294054
9.9666000000	0.0013232453
9.9901000000	0.0013171826
10.0138000000	0.0013111110
10.0372000000	0.0013051582
10.0606000000	0.0012992509
10.0838000000	0.0012934391
10.1068000000	0.0012877179
10.1296000000	0.0012820807
10.1524000000	0.0012764740
10.1749000000	0.0012709749
10.1975000000	0.0012654885
10.2200000000	0.0012600657
10.2425000000	0.0012546806
10.2652000000	0.0012492792
10.2879000000	0.0012439023
10.3105000000	0.0012385589
10.3330000000	0.0012332197
10.3552000000	0.0012278797
10.3771000000	0.0012224666
10.3986000000	0.0012169283
10.4200000000	0.0012111504
10.4416000000	0.0012051232
10.4633000000	0.0011990884
10.4852000000	0.0011933447
10.5075000000	0.0011881680
10.5296000000	0.0011837853
10.5517000000	0.0011799848
10.5734000000	0.0011764884
10.5948000000	0.0011729567
10.6160000000	0.0011692009
10.6370000000	0.0011652068
10.6579000000	0.0011610181
10.6790000000	0.0011566630
10.7001000000	0.0011522500
10.7213000000	0.0011478005
10.7424000000	0.0011433781
10.7635000000	0.0011389736
10.7847000000	0.0011345775
10.8056000000	0.0011302797
10.8264000000	0.0011260422
10.8470000000	0.0011218819
10.8676000000	0.0011177536
10.8880000000	0.0011136891
10.9083000000	0.0011096623
10.9287000000	0.0011056282
10.9488000000	0.0011016674
10.9691000000	0.0010976857
10.9895000000	0.0010937121
11.0098000000	0.0010897893
11.0303000000	0.0010858599
11.0507000000	0.0010819737
11.0709000000	0.0010781413
11.0910000000	0.0010743344
11.1108000000	0.0010705825
11.1305000000	0.0010668330
11.1500000000	0.0010630752
11.1694000000	0.0010592292
11.1888000000	0.0010551902
11.2082000000	0.0010508509
11.2276000000	0.0010461607
11.2471000000	0.0010411624
11.2666000000	0.0010361069
11.2862000000	0.0010313283
11.3058000000	0.0010272273
11.3254000000	0.0010239852
11.3450000000	0.0010215124
11.3646000000	0.0010195187
11.3841000000	0.0010176146
11.4034000000	0.0010155044
11.4225000000	0.0010130581
11.4415000000	0.0010102811
11.4602000000	0.0010072851
11.4790000000	0.0010041160
11.4976000000	0.0010009126
11.5163000000	0.0009976955
11.5350000000	0.0009945258
11.5539000000	0.0009913916
11.5727000000	0.0009883346
11.5915000000	0.0009853146
11.6103000000	0.0009823065
11.6290000000	0.0009793072
11.6476000000	0.0009763078
11.6661000000	0.0009733062
11.6845000000	0.0009703034
11.7029000000	0.0009672853
11.7212000000	0.0009642737
11.7395000000	0.0009612616
11.7577000000	0.0009582809
11.7758000000	0.0009553470
11.7939000000	0.0009524536
11.8120000000	0.0009496035
11.8299000000	0.0009468178
11.8478000000	0.0009440496
11.8657000000	0.0009412851
11.8834000000	0.0009385466
11.9013000000	0.0009357722
11.9190000000	0.0009330303
11.9368000000	0.0009302837
11.9546000000	0.0009275565
11.9723000000	0.0009248703
11.9902000000	0.0009221799
12.0080000000	0.0009195263
12.0258000000	0.0009168877
12.0435000000	0.0009142703
12.0611000000	0.0009116674
12.0787000000	0.0009090592
12.0962000000	0.0009064562
12.1136000000	0.0009038539
12.1310000000	0.0009012322
12.1484000000	0.0008985851
12.1656000000	0.0008959377
12.1829000000	0.0008932368
12.2001000000	0.0008904956
12.2173000000	0.0008876666
12.2344000000	0.0008847126
12.2515000000	0.0008815497
12.2686000000	0.0008780933
12.2856000000	0.0008743282
12.3024000000	0.0008703237
12.3193000000	0.0008661445
12.3362000000	0.0008620788
12.3530000000	0.0008584694
12.3696000000	0.0008555931
12.3863000000	0.0008535794
12.4029000000	0.0008523970
12.4195000000	0.0008517892
12.4361000000	0.0008513811
12.4527000000	0.0008507574
12.4694000000	0.0008495619
12.4861000000	0.0008476146
12.5028000000	0.0008448791
12.5195000000	0.0008415571
12.5361000000	0.0008380116
12.5527000000	0.0008346222
12.5690000000	0.0008318210
12.5853000000	0.0008297519
12.6015000000	0.0008284310
12.6176000000	0.0008276645
12.6336000000	0.0008271807
12.6496000000	0.0008266791
